date,prediction,real,error_pct
2026-03-17,3414.6066875457764,3426.0,-0.3325543623532875
2026-03-18,3389.59325671196,3400.0,-0.3060806849423577
2026-03-19,3376.6412086486816,3200.0,5.520037770271301
2026-03-20,3255.6258449554443,3329.0,-2.204089968295454
2026-03-21,3221.0328800678253,,
2026-03-22,3221.0328800678253,,
2026-03-23,3221.0328800678253,3251.5,-0.9370173745094474
2026-03-24,3191.59969830513,3242.5,-1.56978571148404
2026-03-25,3209.186883211136,3294.5,-2.5895618997985776
2026-03-26,3228.00928235054,3332.0,-3.1209699174507755
2026-03-27,3257.7133524417877,3292.0,-1.0415142028618554
2026-03-28,3257.713352441788,,
2026-03-29,3257.713352441788,,
2026-03-30,3271.5598344802856,3482.0,-6.043657826528269
2026-03-31,3369.286796092987,3585.0,-6.01710471149269
2026-04-01,3467.0184400081635,3583.5,-3.2504969999117215
2026-04-02,3526.5470638275146,,
